name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,note,valid_until,node_id,sourceID
"TIANSHENG INDUSTRY AND TRADING CO., LTD.","TIANSHENG INDUSTRY AND TRADING CO., LTD.",,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1001256,23-Mar-06,18-Feb-13,15-Feb-13,,Defaulted,Mossack Fonseca,25221,CRI,Costa Rica,,The Panama Papers data is current through 2015,10000001,Panama Papers
"NINGBO SUNRISE ENTERPRISES UNITED CO., LTD.","NINGBO SUNRISE ENTERPRISES UNITED CO., LTD.",,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1001263,27-Mar-06,27-Feb-14,15-Feb-14,,Defaulted,Mossack Fonseca,25249,HKG,Hong Kong,,The Panama Papers data is current through 2015,10000002,Panama Papers
"HOTFOCUS CO., LTD.","HOTFOCUS CO., LTD.",,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000896,10-Jan-06,15-Feb-12,15-Feb-12,,Defaulted,Mossack Fonseca,24138,HKG,Hong Kong,,The Panama Papers data is current through 2015,10000003,Panama Papers
"SKY-BLUE GIFTS & TOYS CO., LTD.","SKY-BLUE GIFTS & TOYS CO., LTD.",,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000914,6-Jan-06,16-Feb-09,15-Feb-09,,Defaulted,Mossack Fonseca,24012,CRI,Costa Rica,,The Panama Papers data is current through 2015,10000004,Panama Papers
FORTUNEMAKER INVESTMENTS CORPORATION,FORTUNEMAKER INVESTMENTS CORPORATION,,SAM,Samoa,,LOYAL PORT LIMITED 8/F; CRAWFORD TOWER 99 JERVOIS STREET SHEUNG WAN; HONG KONG,1001266,19-Apr-06,15-May-09,15-Feb-08,,Changed agent,Mossack Fonseca,R25638,CRI,Costa Rica,,The Panama Papers data is current through 2015,10000005,Panama Papers
8808 HOLDING LIMITED,8808 HOLDING LIMITED (EX-DIAMOND LIMITED),DIAMOND LIMITED,SAM,Samoa,,TWC MANAGEMENT LIMITED SUITE D; 19/F RITZ PLAZA122 AUSTIN ROADTSIM SHA TSUI; KOWLOON HONG KONG,1000916,5-Jan-06,,,,Active,Mossack Fonseca,23835,HKG,Hong Kong,,The Panama Papers data is current through 2015,10000006,Panama Papers
KENT DEVELOPMENT LIMITED,KENT DEVELOPMENT LIMITED,,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000022,26-Jan-04,3-May-06,15-Feb-06,,Defaulted,Mossack Fonseca,15757,HKG,Hong Kong,,The Panama Papers data is current through 2015,10000007,Panama Papers
BONUS TRADE LIMITED,BONUS TRADE LIMITED,,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000049,13-Feb-04,16-Feb-09,15-Feb-09,,Defaulted,Mossack Fonseca,15910,CRI,Costa Rica,,The Panama Papers data is current through 2015,10000008,Panama Papers
AMARANDAN LTD.,AMARANDAN LTD.,,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000024,26-Jan-04,3-May-06,15-Feb-06,,Defaulted,Mossack Fonseca,15759,CRI,Costa Rica,,The Panama Papers data is current through 2015,10000009,Panama Papers
NEW IDEA LIMITED,NEW IDEA LIMITED,,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000079,30-Mar-04,27-Feb-07,15-Feb-07,,Defaulted,Mossack Fonseca,16462,HKG,Hong Kong,,The Panama Papers data is current through 2015,10000010,Panama Papers
HUGH POWER LIMITED,HUGH POWER LIMITED,,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000081,30-Mar-04,2-Jan-08,15-Feb-08,,Defaulted,Mossack Fonseca,16464,CRI,Costa Rica,,The Panama Papers data is current through 2015,10000011,Panama Papers
ULTIMATE GROUP LIMITED,ULTIMATE GROUP LIMITED,,SAM,Samoa,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,1000095,5-Apr-04,,,,Active,Mossack Fonseca,16573,HKG,Hong Kong,,The Panama Papers data is current through 2015,10000012,Panama Papers
VICTORY GROUP LIMITED,VICTORY GROUP LIMITED,,SAM,Samoa,,GO SHINE MANAGEMENT CO.; LTD. ROOM B; 5F.; NO. 92; SEC. 1NANJING E. RD.; JHONGSHAN DISTRICT; TAIPEI CITY 104; TAIPEI TAIWAN,1000077,30-Mar-04,20-Feb-10,15-Feb-10,,Defaulted,Mossack Fonseca,16460,TWN,Taiwan,,The Panama Papers data is current through 2015,10000013,Panama Papers
