node_1,rel_type,node_2,sourceID,valid_until,start_date,end_date
12000001,intermediary of,10000001,Panama Papers,The Panama Papers data is current through 2015,,
12000002,intermediary of,10000002,Panama Papers,The Panama Papers data is current through 2015,,
12000003,intermediary of,10000003,Panama Papers,The Panama Papers data is current through 2015,,
12000004,intermediary of,10000004,Panama Papers,The Panama Papers data is current through 2015,,
12000005,intermediary of,10000005,Panama Papers,The Panama Papers data is current through 2015,,
12000006,intermediary of,10000006,Panama Papers,The Panama Papers data is current through 2015,,
12000007,intermediary of,10000007,Panama Papers,The Panama Papers data is current through 2015,,
12000008,intermediary of,10000008,Panama Papers,The Panama Papers data is current through 2015,,
12000009,intermediary of,10000009,Panama Papers,The Panama Papers data is current through 2015,,
12000010,intermediary of,10000010,Panama Papers,The Panama Papers data is current through 2015,,
12000011,intermediary of,10000011,Panama Papers,The Panama Papers data is current through 2015,,
12000012,intermediary of,10000012,Panama Papers,The Panama Papers data is current through 2015,,
12000013,intermediary of,10000013,Panama Papers,The Panama Papers data is current through 2015,,
12000014,intermediary of,10000001,Panama Papers,The Panama Papers data is current through 2015,,
12000015,intermediary of,10000002,Panama Papers,The Panama Papers data is current through 2015,,
12000016,intermediary of,10000003,Panama Papers,The Panama Papers data is current through 2015,,
12000017,intermediary of,10000004,Panama Papers,The Panama Papers data is current through 2015,,
12000018,intermediary of,10000005,Panama Papers,The Panama Papers data is current through 2015,,
12000019,intermediary of,10000006,Panama Papers,The Panama Papers data is current through 2015,,
12000020,intermediary of,10000007,Panama Papers,The Panama Papers data is current through 2015,,
12000021,intermediary of,10000008,Panama Papers,The Panama Papers data is current through 2015,,
12000022,intermediary of,10000009,Panama Papers,The Panama Papers data is current through 2015,,
12000023,intermediary of,10000010,Panama Papers,The Panama Papers data is current through 2015,,
12000024,intermediary of,10000011,Panama Papers,The Panama Papers data is current through 2015,,
12000025,intermediary of,10000012,Panama Papers,The Panama Papers data is current through 2015,,
12000026,intermediary of,10000013,Panama Papers,The Panama Papers data is current through 2015,,
12000027,intermediary of,10000001,Panama Papers,The Panama Papers data is current through 2015,,
12000028,intermediary of,10000002,Panama Papers,The Panama Papers data is current through 2015,,
12000029,intermediary of,10000003,Panama Papers,The Panama Papers data is current through 2015,,
12098935,intermediary of,10000004,Panama Papers,The Panama Papers data is current through 2015,,
12098402,intermediary of,10000005,Panama Papers,The Panama Papers data is current through 2015,,
12099150,intermediary of,10000006,Panama Papers,The Panama Papers data is current through 2015,,
11000001,intermediary of,10000007,Panama Papers,The Panama Papers data is current through 2015,,
11000002,intermediary of,10000008,Panama Papers,The Panama Papers data is current through 2015,,
11000003,intermediary of,10000009,Panama Papers,The Panama Papers data is current through 2015,,
11000004,intermediary of,10000010,Panama Papers,The Panama Papers data is current through 2015,,
11000005,intermediary of,10000011,Panama Papers,The Panama Papers data is current through 2015,,
11000006,intermediary of,10000012,Panama Papers,The Panama Papers data is current through 2015,,
11000007,intermediary of,10000013,Panama Papers,The Panama Papers data is current through 2015,,
11000008,intermediary of,10000001,Panama Papers,The Panama Papers data is current through 2015,,
11000009,intermediary of,10000002,Panama Papers,The Panama Papers data is current through 2015,,
11000010,intermediary of,10000003,Panama Papers,The Panama Papers data is current through 2015,,
11000011,intermediary of,10000004,Panama Papers,The Panama Papers data is current through 2015,,
11000012,intermediary of,10000005,Panama Papers,The Panama Papers data is current through 2015,,
11000013,intermediary of,10000006,Panama Papers,The Panama Papers data is current through 2015,,
11000014,intermediary of,10000007,Panama Papers,The Panama Papers data is current through 2015,,
11000015,intermediary of,10000008,Panama Papers,The Panama Papers data is current through 2015,,
11000016,intermediary of,10000009,Panama Papers,The Panama Papers data is current through 2015,,
11000017,intermediary of,10000010,Panama Papers,The Panama Papers data is current through 2015,,
11000018,intermediary of,10000011,Panama Papers,The Panama Papers data is current through 2015,,
11000019,intermediary of,10000012,Panama Papers,The Panama Papers data is current through 2015,,
11000020,intermediary of,10000013,Panama Papers,The Panama Papers data is current through 2015,,
11000021,intermediary of,10000001,Panama Papers,The Panama Papers data is current through 2015,,
11000022,intermediary of,10000002,Panama Papers,The Panama Papers data is current through 2015,,
11000023,intermediary of,10000003,Panama Papers,The Panama Papers data is current through 2015,,
11000024,intermediary of,10000004,Panama Papers,The Panama Papers data is current through 2015,,
11000025,intermediary of,10000005,Panama Papers,The Panama Papers data is current through 2015,,
11000026,intermediary of,10000006,Panama Papers,The Panama Papers data is current through 2015,,
11000027,intermediary of,10000007,Panama Papers,The Panama Papers data is current through 2015,,
12099150,intermediary of,10000008,Panama Papers,The Panama Papers data is current through 2015,,
11000029,intermediary of,10000009,Panama Papers,The Panama Papers data is current through 2015,,
11000030,intermediary of,10000010,Panama Papers,The Panama Papers data is current through 2015,,
11000031,intermediary of,10000011,Panama Papers,The Panama Papers data is current through 2015,,
11000001,intermediary of,10000012,Panama Papers,The Panama Papers data is current through 2015,,
11000002,intermediary of,10000013,Panama Papers,The Panama Papers data is current through 2015,,
11000003,intermediary of,10000001,Panama Papers,The Panama Papers data is current through 2015,,
11000004,intermediary of,10000002,Panama Papers,The Panama Papers data is current through 2015,,
11000005,intermediary of,10000003,Panama Papers,The Panama Papers data is current through 2015,,
11000006,intermediary of,10000004,Panama Papers,The Panama Papers data is current through 2015,,
